Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.75545863958136	3.00883085161061	0.0123	0.0045
Adrenal Pancreas	4.12696988879634	3.7570587249288	0.0122	0.0045
Cardiovascular	1.70681358560146	3.01275814265472	0.0122	0.0045
CNS	0.736880858461753	2.1578154066726	0.0121	0.0045
Connective Bone	1.56320811594864	2.62170453327643	0.0122	0.0045
GI	4.15809078493938	2.5640306591278	0.0122	0.0045
Hematopoietic	2.47310109734683	1.77018908875388	0.0123	0.0045
Kidney	2.56977626269534	5.24740888152281	0.0122	0.0045
Liver	3.16055975634437	3.34033678540446	0.0122	0.0045
Other	3.28684759893404	2.00621354896478	0.0121	0.0045
