Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.89204308739838	0.331990757892687	0.2305	0.0096
Adrenal Pancreas	3.08810005783662	0.362255734880065	0.2296	0.0096
Cardiovascular	4.3234958692717	0.337670269102743	0.229	0.0095
CNS	2.50600992799601	0.220287731022166	0.2293	0.0096
Connective Bone	3.77679494972871	0.299849882403894	0.2278	0.0096
GI	2.85759764193244	0.278198046604537	0.2297	0.0096
Hematopoietic	1.88486179676097	0.185661588966072	0.2298	0.0096
Kidney	4.57833148403644	0.687349481230695	0.2298	0.0096
Liver	3.11519325549576	0.369650315700977	0.2297	0.0096
Other	2.70258706642681	0.229945195031328	0.2295	0.0096
