Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.77268242593881	0.364163741483165	0.229	0.0105
Adrenal Pancreas	2.99298001105729	0.424126698798763	0.228	0.0105
Cardiovascular	4.07544488519846	0.354812392024604	0.2274	0.0105
CNS	2.28162360292135	0.236069779430835	0.2274	0.0105
Connective Bone	3.76894651212915	0.310552078979674	0.2261	0.0105
GI	2.97684589016169	0.294047140718875	0.2281	0.0105
Hematopoietic	1.69768912959276	0.197481750284383	0.2286	0.0106
Kidney	4.18497844496314	0.627813986556998	0.2282	0.0105
Liver	3.12048999629463	0.383953953439129	0.228	0.0105
Other	2.94138223534727	0.247016396554781	0.2277	0.0105
