Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	5.85864876664931	3.37108791017275	0.0083	0.0033
Adrenal Pancreas	0.289130969111294	3.49551026950627	0.0081	0.0033
Cardiovascular	6.18350973304182	3.77907289721846	0.0079	0.0033
CNS	0.03368227322779	2.49087204766138	0.0081	0.0033
Connective Bone	-0.132300694703468	2.88109034980144	0.0081	0.0033
GI	2.5527802761176	2.46542881238949	0.008	0.0033
Hematopoietic	-2.093091635493	2.3617998057397	0.0082	0.0033
Kidney	-0.513953856225086	5.93792495359413	0.008	0.0033
Liver	1.82525948374804	3.77797595159358	0.008	0.0033
Other	1.43107955952689	2.24618353737543	0.008	0.0033
