Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.33139100085971	0.594128266151577	0.1179	0.009
Adrenal Pancreas	5.4889796806468	0.808587442882008	0.1177	0.009
Cardiovascular	3.97965971659995	0.611710388009554	0.1172	0.009
CNS	2.57174052252187	0.424565278056287	0.1171	0.0089
Connective Bone	3.20580089940902	0.516308467638889	0.1175	0.009
GI	3.23612271496878	0.506434990848311	0.1175	0.009
Hematopoietic	3.06325203352336	0.261994937951955	0.1163	0.0089
Kidney	4.27250928718676	1.06589235952771	0.1174	0.009
Liver	4.3372032306755	0.882230431752422	0.1172	0.009
Other	3.03429687378127	0.472789254743022	0.1173	0.009
