Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.87687296139215	0.556624123404328	0.1187	0.0098
Adrenal Pancreas	5.01730245046478	0.809199008072921	0.1186	0.0099
Cardiovascular	3.49899520114736	0.566584482642756	0.1182	0.0098
CNS	2.68509074002805	0.432388461954658	0.1182	0.0098
Connective Bone	3.03054061757287	0.509807827908855	0.1185	0.0098
GI	2.98505656639027	0.512767172265584	0.1184	0.0098
Hematopoietic	3.02698839721351	0.315208884489252	0.1174	0.0098
Kidney	4.37714110152202	1.11584128160158	0.1184	0.0098
Liver	3.75922775835602	0.795396394815417	0.1183	0.0098
Other	2.77736893163454	0.459827314614878	0.1183	0.0098
