Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	0.8692788868651	3.19929224468178	0.0084	0.0034
Adrenal Pancreas	3.04447201387987	4.20404005487848	0.0084	0.0034
Cardiovascular	-2.00532588896595	3.94832280883441	0.0084	0.0034
CNS	-1.1169604565946	2.64412097240493	0.0082	0.0034
Connective Bone	0.284385038801098	2.9429455287212	0.0084	0.0034
GI	-0.51928136503095	2.44965941688985	0.0084	0.0034
Hematopoietic	1.20801619683357	2.00246854788652	0.0083	0.0034
Kidney	0.724023222612301	5.8806145252279	0.0083	0.0034
Liver	7.07768023389066	4.73325077414547	0.0083	0.0034
Other	0.477701455655654	2.31642811090437	0.0083	0.0034
