Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.48525708111896	0.588900009577948	0.2121	0.0133
Adrenal Pancreas	4.62421649433493	0.697924721800225	0.2117	0.0134
Cardiovascular	3.03475055256464	0.567569554395099	0.2111	0.0133
CNS	2.15540299073397	0.431253971439361	0.2107	0.0132
Connective Bone	3.27801175258814	0.684109322367738	0.2102	0.0129
GI	2.64559035554032	0.395478993427304	0.2114	0.0133
Hematopoietic	2.12841477783164	0.308324384526826	0.211	0.0134
Kidney	5.22043661252482	0.914500994783271	0.2116	0.0133
Liver	6.35434165028291	0.643085175961369	0.21	0.0132
Other	2.95534631947761	0.425873229455537	0.2109	0.0132
