Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.15216758554316	0.571760331656266	0.2537	0.0152
Adrenal Pancreas	4.14577300151342	0.733245979053836	0.2535	0.0154
Cardiovascular	2.72118607959019	0.562613335478114	0.253	0.0153
CNS	2.15540064987907	0.408435081071846	0.2526	0.0152
Connective Bone	2.94894316593032	0.683327862631713	0.2523	0.0151
GI	2.32180712886779	0.477722589479504	0.2531	0.0153
Hematopoietic	2.12134288323457	0.288590719843942	0.2526	0.0154
Kidney	4.01638784925013	0.875673493003134	0.2533	0.0153
Liver	5.76770451604789	0.707122765618852	0.2519	0.0152
Other	2.70681935181566	0.503195891032192	0.2529	0.0153
