Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	5.40421005731335	0.549136305839689	0.2163	0.0111
Adrenal Pancreas	6.27352086670697	0.891031700782258	0.2161	0.0112
Cardiovascular	5.50893584981443	0.603610655536459	0.2154	0.0112
CNS	3.43195741731686	0.315000050893052	0.215	0.0111
Connective Bone	4.74321582070648	0.564740333987518	0.216	0.0113
GI	4.2950149340134	0.424988812756205	0.216	0.0112
Hematopoietic	3.86817229234838	0.332044185118849	0.2145	0.0111
Kidney	10.6426390589421	1.35968917651122	0.2165	0.0112
Liver	6.7137519309061	0.697471933696956	0.2154	0.0112
Other	4.07920718025601	0.410754965658756	0.2157	0.0112
