Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	5.49608380750068	0.635179475070126	0.1979	0.0121
Adrenal Pancreas	6.44645234847828	0.925482127418089	0.1978	0.0121
Cardiovascular	5.44123621403448	0.757217323501172	0.1974	0.0122
CNS	3.4736602471142	0.392456924404189	0.1968	0.0121
Connective Bone	4.66795930810906	0.686836142102732	0.1982	0.0121
GI	4.17118341285111	0.476925214346146	0.1976	0.0121
Hematopoietic	3.9978268936559	0.383429092981196	0.1961	0.0121
Kidney	10.6911540320181	1.43505304645319	0.1982	0.0121
Liver	6.89284595530261	0.798383796927502	0.1972	0.0121
Other	3.92165291959093	0.449225628002478	0.1976	0.0122
