Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	5.97552788794527	1.77969580184241	0.0224	0.0045
Adrenal Pancreas	6.24712899981536	2.21991238536674	0.0222	0.0045
Cardiovascular	4.30623658791794	1.87937195284724	0.0221	0.0045
CNS	3.21365427046161	1.16612265240097	0.0222	0.0045
Connective Bone	4.32954778948962	1.46529758109027	0.022	0.0045
GI	4.11696440999397	1.25010220702139	0.0221	0.0045
Hematopoietic	3.96535166139965	1.00761047591825	0.0216	0.0044
Kidney	7.43334951301672	3.03574663510128	0.0222	0.0045
Liver	6.58144507596047	1.9829804459487	0.0221	0.0045
Other	3.87975828217771	1.24799671254222	0.022	0.0045
