Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.41619770426193	0.664321084223997	0.1469	0.0111
Adrenal Pancreas	5.53956167815764	0.846215033637966	0.1468	0.0112
Cardiovascular	3.68921308030378	0.696966292637084	0.1465	0.0111
CNS	3.14340793225698	0.470904641701943	0.1464	0.0111
Connective Bone	4.1044963520411	0.759183245020563	0.1461	0.0111
GI	3.41704925154755	0.433809317489333	0.1466	0.0111
Hematopoietic	3.02960225025714	0.327484744032892	0.1457	0.011
Kidney	9.94075153176616	1.4842987396351	0.1472	0.011
Liver	8.72802376134642	1.020324110679	0.1456	0.011
Other	3.59247412889893	0.425494652465629	0.1461	0.0111
