Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.89853260147467	0.672808910117831	0.1814	0.0139
Adrenal Pancreas	4.37838665123666	0.766551556242146	0.1813	0.014
Cardiovascular	3.27306315399095	0.671414102141114	0.1811	0.0139
CNS	2.77668125060335	0.441050521680456	0.1807	0.0138
Connective Bone	3.56061589194439	0.736321297628907	0.1811	0.014
GI	3.33658012208549	0.516418762719677	0.1813	0.014
Hematopoietic	2.52679175047458	0.329016304363109	0.1806	0.0138
Kidney	9.22898363341158	1.45861114908821	0.1818	0.0139
Liver	10.0877982408345	1.19526231330484	0.1796	0.0139
Other	3.02103769617	0.430555968010317	0.181	0.0139
