Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.69939810337791	0.598684451874704	0.1317	0.0079
Adrenal Pancreas	4.87957892977016	0.697234015760259	0.1314	0.0079
Cardiovascular	4.14303854929277	0.595478963843542	0.1312	0.0079
CNS	3.1956605060156	0.374371555320507	0.131	0.0078
Connective Bone	4.93071630402162	0.604609911570284	0.1301	0.0077
GI	4.18429108805662	0.48754246423947	0.1314	0.0079
Hematopoietic	2.88423346463453	0.343163155447172	0.1312	0.0079
Kidney	8.03722617763355	1.66556875789068	0.1317	0.0079
Liver	8.25020262208425	1.3681281387845	0.1306	0.0079
Other	4.28345586341616	0.386404466377433	0.1308	0.0078
