Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.22461685501236	0.526636877988597	0.139	0.0093
Adrenal Pancreas	4.8041881405977	0.66341375226321	0.1389	0.0093
Cardiovascular	3.44185182362587	0.547937964067779	0.1387	0.0093
CNS	2.58885859719544	0.356791331834933	0.138	0.0092
Connective Bone	4.39180805024704	0.601319828426865	0.1375	0.0091
GI	3.54144901116092	0.432685881661393	0.1387	0.0093
Hematopoietic	2.90210958683488	0.371665536655888	0.1382	0.0093
Kidney	6.49416853902132	1.17617228611414	0.139	0.0093
Liver	7.36097277959423	1.11138113135601	0.138	0.0093
Other	3.67239048044103	0.372234148827156	0.1383	0.0092
