Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.32499562203633	0.865805408999288	0.0343	0.004
Adrenal Pancreas	3.78938494484124	1.03322984968987	0.0344	0.004
Cardiovascular	3.35804651414376	0.983170361040193	0.0344	0.004
CNS	2.99525587767983	0.680014823839678	0.0344	0.004
Connective Bone	4.14570984118698	0.863582277924793	0.034	0.004
GI	2.89159891262957	0.698289798004281	0.0344	0.004
Hematopoietic	2.18286573420527	0.495311334637502	0.0344	0.004
Kidney	4.6767281928175	1.71057208297761	0.0344	0.004
Liver	3.64552218490789	1.01885100093611	0.0344	0.004
Other	3.29093209012052	0.661875115399919	0.0343	0.004
