Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.04556378881323	0.277449217145036	0.2473	0.01
Adrenal Pancreas	3.88418738825665	0.33617566047199	0.2473	0.01
Cardiovascular	2.86203368903886	0.29850569555914	0.247	0.0099
CNS	2.73715892194535	0.19103005181293	0.2476	0.0099
Connective Bone	3.2271838429766	0.258710461148923	0.2456	0.0099
GI	1.80743179411704	0.188537780568279	0.2468	0.0099
Hematopoietic	1.95048540361164	0.161855075682692	0.2466	0.0099
Kidney	3.63820135484444	0.650399456296503	0.2471	0.0099
Liver	2.98381149772913	0.322473572184421	0.2469	0.0099
Other	2.21487021848375	0.200894792511728	0.247	0.0099
