Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.41088854246153	0.284710165115053	0.2955	0.012
Adrenal Pancreas	3.31232471118549	0.359748028628015	0.2949	0.012
Cardiovascular	3.23870027619999	0.349604323915186	0.2945	0.012
CNS	2.58510554941893	0.22196340407254	0.2947	0.012
Connective Bone	3.75858129370103	0.314477111743337	0.2918	0.012
GI	2.24622208772175	0.220150283032159	0.2947	0.012
Hematopoietic	1.96378582044839	0.169295041537802	0.2945	0.0119
Kidney	4.06686864593947	0.682027161382379	0.2948	0.012
Liver	3.24961730632242	0.337255062025022	0.2946	0.012
Other	2.59406955198332	0.224351800329198	0.2946	0.012
