Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.78256736398597	0.820520954285126	0.0354	0.0039
Adrenal Pancreas	3.50690132902431	0.984569147724246	0.0355	0.0038
Cardiovascular	2.64612261859499	0.928594766867301	0.0356	0.0038
CNS	2.94291491772471	0.625760628576309	0.0355	0.0038
Connective Bone	3.58011027813316	0.804481624811524	0.0352	0.0038
GI	2.62357906591128	0.671088410183615	0.0355	0.0038
Hematopoietic	2.03821419747149	0.469415504178058	0.0356	0.0039
Kidney	4.74776566301946	1.61611786333995	0.0355	0.0038
Liver	4.07320465292845	0.999048686394126	0.0354	0.0038
Other	3.06017284878974	0.617263195006383	0.0354	0.0038
