Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.38861680233872	0.284038107174525	0.2663	0.0111
Adrenal Pancreas	3.8934700894537	0.349842146204601	0.2659	0.0111
Cardiovascular	3.08328318383076	0.310670218973187	0.2655	0.011
CNS	2.6398359647809	0.192687567584753	0.2659	0.011
Connective Bone	3.58566643148799	0.268512822251986	0.2635	0.011
GI	1.95214716570096	0.19458381611075	0.2654	0.011
Hematopoietic	1.94545559570055	0.166625981114204	0.2653	0.011
Kidney	3.9277690314507	0.690063271602256	0.2657	0.0111
Liver	3.14158586196052	0.338559512290957	0.2655	0.011
Other	2.40793758385616	0.211050852223715	0.2656	0.011
