Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.2242313469192	0.278988179141312	0.2931	0.0119
Adrenal Pancreas	3.1995042270269	0.35804652869523	0.2926	0.0119
Cardiovascular	3.03891582144336	0.343474942557104	0.2923	0.0119
CNS	2.57482158967666	0.219650150162941	0.2926	0.0119
Connective Bone	3.5870633834726	0.311877181056274	0.2897	0.0119
GI	2.13198175122754	0.21659250054302	0.2924	0.0119
Hematopoietic	1.92455802186791	0.165092910016157	0.2922	0.0119
Kidney	3.84773958549284	0.643514714530901	0.2925	0.0119
Liver	3.15984277585613	0.328971557349045	0.2922	0.0119
Other	2.49533672967794	0.217349331310793	0.2923	0.0119
