Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.26414308100604	2.2361728775772	0.011	0.0033
Adrenal Pancreas	4.57194812655873	2.74689534045454	0.0111	0.0033
Cardiovascular	4.40258476533759	2.33451619183612	0.011	0.0033
CNS	5.00305279469041	1.8163593085854	0.0112	0.0033
Connective Bone	3.0754460582126	2.04686155193209	0.0111	0.0033
GI	2.98601357696826	1.85353252049193	0.0111	0.0033
Hematopoietic	2.79759130547031	1.36839667371117	0.011	0.0033
Kidney	9.29205168698969	4.38235799593926	0.0111	0.0033
Liver	4.88519007226025	2.68520446505596	0.011	0.0033
Other	3.08477712561351	1.84213789982254	0.011	0.0033
