Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.37586281990091	0.237313156774281	0.239	0.0096
Adrenal Pancreas	3.2420455122234	0.320870688856137	0.2392	0.0096
Cardiovascular	2.01273032687904	0.262140467066395	0.2391	0.0096
CNS	2.88241737550926	0.194326248209131	0.2404	0.0094
Connective Bone	1.74716105079655	0.22420514223404	0.2396	0.0096
GI	1.23288288459975	0.174997541224427	0.2386	0.0095
Hematopoietic	1.58240173658366	0.138690733408678	0.2385	0.0095
Kidney	1.72331437761262	0.421157095531401	0.2387	0.0095
Liver	1.73668871286622	0.296175195185829	0.239	0.0095
Other	1.49543816546523	0.161509650724759	0.2391	0.0095
