Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.37484810907672	0.269399128530096	0.2528	0.0106
Adrenal Pancreas	2.56618293089913	0.310252593847245	0.2526	0.0105
Cardiovascular	1.86123842268284	0.304695920041359	0.2529	0.0106
CNS	2.60351121331928	0.218152556710922	0.2537	0.0105
Connective Bone	1.81800957044248	0.252320049813186	0.2529	0.0107
GI	1.28899514545698	0.191845298628347	0.2523	0.0105
Hematopoietic	1.49333476939655	0.157519577754109	0.2521	0.0105
Kidney	1.52861261917664	0.436684615980104	0.2523	0.0105
Liver	1.61673337361124	0.281248443511953	0.2527	0.0105
Other	1.57477501441488	0.198928084776766	0.2526	0.0105
