Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.67607644084453	0.720130080676033	0.1075	0.0081
Adrenal Pancreas	5.10726843803936	0.945449865007293	0.1079	0.0082
Cardiovascular	3.64620781754839	0.825055260294961	0.1078	0.0082
CNS	2.66925940322552	0.474907328721283	0.1071	0.0081
Connective Bone	3.48858807426045	0.773467735515416	0.1081	0.0083
GI	4.00224877227113	0.51453566205555	0.1078	0.0082
Hematopoietic	3.43515207713089	0.431330421984254	0.1071	0.0081
Kidney	10.8962660961301	2.05336174129537	0.1085	0.0082
Liver	6.84756865631917	1.20053398939468	0.1074	0.0082
Other	3.58886571504435	0.524507750086467	0.1075	0.0082
