Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.76831474570393	0.73052923532335	0.1233	0.0093
Adrenal Pancreas	4.77226646598421	0.871864154000252	0.1235	0.0093
Cardiovascular	3.76897495063399	0.788908289296	0.1234	0.0093
CNS	2.31903601710297	0.494124208796082	0.1222	0.0092
Connective Bone	4.03172848695108	0.797941736519628	0.1232	0.0093
GI	3.78363277562143	0.52744313634004	0.1235	0.0092
Hematopoietic	3.59468275519805	0.42999169503623	0.1226	0.0092
Kidney	10.2031678164439	1.8060648200662	0.1242	0.0094
Liver	7.90823171249456	1.41213048549814	0.1229	0.0092
Other	3.55776813800753	0.527027598047731	0.1232	0.0093
