Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.87444173313394	2.35228859778921	0.0123	0.0032
Adrenal Pancreas	4.93018292804525	2.55529448938627	0.0122	0.0032
Cardiovascular	5.55328497288467	2.71523010756426	0.012	0.0032
CNS	2.04243961013016	1.38927425499157	0.0122	0.0032
Connective Bone	2.97564029007836	1.99318557191876	0.012	0.0032
GI	1.85106653939483	1.60355170627254	0.0122	0.0032
Hematopoietic	1.3385078675636	1.15341415135203	0.0122	0.0032
Kidney	11.1366377983854	4.40810214872548	0.0123	0.0032
Liver	6.47328140031135	3.04734530218498	0.0121	0.0032
Other	3.31790410615405	1.49359394466564	0.012	0.0032
