Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.46922073464706	0.488508653913236	0.1484	0.0076
Adrenal Pancreas	4.9688410141833	0.608278282992191	0.148	0.0076
Cardiovascular	4.36098115577456	0.558150598898229	0.1474	0.0076
CNS	2.58790603239154	0.286549455857278	0.1471	0.0075
Connective Bone	3.20855213133134	0.413768928498374	0.1481	0.0077
GI	3.84064443846181	0.342378040979042	0.1478	0.0076
Hematopoietic	2.30432939693474	0.249666707690626	0.1475	0.0076
Kidney	11.7428968440899	1.26856725537896	0.149	0.0076
Liver	6.04672957023012	0.654924659309726	0.1471	0.0075
Other	2.91343148749885	0.299240610333633	0.1477	0.0076
