Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.68971968223175	0.59537568483254	0.0992	0.0068
Adrenal Pancreas	5.6895465022892	0.754948219542484	0.0991	0.0069
Cardiovascular	5.1228724431377	0.705686819665305	0.0986	0.0068
CNS	2.6713867328542	0.424446031108132	0.0984	0.0068
Connective Bone	3.48886842420046	0.554050032193871	0.0992	0.0069
GI	4.22440878979212	0.438592976244073	0.099	0.0068
Hematopoietic	2.43636859250722	0.332175065028657	0.0989	0.0068
Kidney	13.6630936999583	1.48507943319137	0.1001	0.0068
Liver	8.05965509110725	0.962601961883302	0.0983	0.0068
Other	3.14624581541266	0.392374714272927	0.0989	0.0068
