Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	1.36245389529958	2.55558362654798	0.011	0.0033
Adrenal Pancreas	-0.190162983668291	2.91053519545868	0.011	0.0033
Cardiovascular	2.21721819026351	2.60442532019883	0.0108	0.0033
CNS	-0.523044556264565	1.96018983754489	0.0108	0.0033
Connective Bone	1.37582304472738	2.20488453927568	0.0111	0.0033
GI	3.0029728754943	2.20375583153075	0.011	0.0033
Hematopoietic	1.37432068089876	1.52825108690939	0.0111	0.0033
Kidney	2.70936287098302	4.89448603865092	0.011	0.0033
Liver	0.818108994360991	3.21271032065727	0.011	0.0033
Other	2.42114721493832	1.79312509013679	0.0109	0.0033
