Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.65152909449844	0.397708881538778	0.1726	0.0089
Adrenal Pancreas	3.38208241610697	0.417679466204557	0.1719	0.0089
Cardiovascular	4.18585275215346	0.421653672925109	0.1712	0.0088
CNS	2.24280818981293	0.256526397044016	0.1715	0.0089
Connective Bone	2.98954760117463	0.363517327784475	0.1715	0.009
GI	3.00683209589294	0.315840273365375	0.1719	0.0089
Hematopoietic	1.86965774039991	0.185860835952379	0.1719	0.0089
Kidney	4.83227979718659	0.819408770018845	0.1721	0.0089
Liver	3.30268632163698	0.417275331530204	0.1716	0.0089
Other	2.90145847465816	0.292747645094068	0.1715	0.0089
