Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.05908422725503	0.437747512895362	0.1183	0.0074
Adrenal Pancreas	4.16587191416017	0.511357496191009	0.1178	0.0074
Cardiovascular	4.7922439236619	0.470131227761582	0.1171	0.0073
CNS	2.87771814895404	0.329465252280429	0.1177	0.0074
Connective Bone	3.33659996291007	0.445646045077067	0.1173	0.0074
GI	3.01709147393382	0.334450873780882	0.1177	0.0073
Hematopoietic	1.75802467412228	0.236561169026532	0.1181	0.0073
Kidney	6.35627988607124	0.874972850437006	0.118	0.0074
Liver	3.30833029498936	0.522731413371434	0.1176	0.0073
Other	3.08084735158332	0.305615659536475	0.1174	0.0073
