Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.17673198002179	2.99366995558815	0.0095	0.0031
Adrenal Pancreas	1.62428202865757	3.06776832767545	0.0094	0.0031
Cardiovascular	3.31174345189037	3.01627299369167	0.0094	0.0031
CNS	2.49066700915188	1.85871906120491	0.0095	0.0031
Connective Bone	4.15413167897289	2.86315677287924	0.0092	0.0031
GI	3.45638301339413	2.09780769945818	0.0094	0.0031
Hematopoietic	1.57453416036508	1.29511112185598	0.0093	0.0031
Kidney	5.08488498704087	4.73414050398522	0.0094	0.0031
Liver	4.56383799173415	3.28400247948952	0.0094	0.0031
Other	1.62372416246388	1.85858279626538	0.0094	0.0031
