Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.40076006051551	0.523673351562314	0.1502	0.0123
Adrenal Pancreas	3.23398952773218	0.55239320279229	0.1507	0.0122
Cardiovascular	2.75500405470035	0.604537832845856	0.1513	0.0122
CNS	2.14217485143985	0.330777434785572	0.1492	0.0122
Connective Bone	3.29394445029341	0.539419689749289	0.1526	0.0124
GI	2.36946659514409	0.488765094356425	0.1507	0.0121
Hematopoietic	6.22048438148554	0.377631171323735	0.1476	0.0118
Kidney	4.88594100753625	1.04518714225408	0.1506	0.0122
Liver	4.94066740950409	0.680071149637743	0.151	0.0122
Other	2.39197724066311	0.391346907282674	0.1514	0.0122
