Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.40198706296936	0.555377057764511	0.1696	0.0124
Adrenal Pancreas	3.40358659361035	0.552686450990734	0.1703	0.0124
Cardiovascular	3.23987938757897	0.608019987758574	0.1709	0.0124
CNS	1.96868520421556	0.329152012332391	0.1686	0.0123
Connective Bone	3.61899129216235	0.486726992297584	0.1718	0.0123
GI	2.56672052413487	0.443816594063552	0.1704	0.0123
Hematopoietic	5.57968817783406	0.359036661479707	0.1674	0.0121
Kidney	4.66321916141517	1.11540771514977	0.1703	0.0124
Liver	4.78191547762296	0.680464502205661	0.1706	0.0124
Other	2.60077654758378	0.386199856566158	0.171	0.0124
