pheno	pheno_name	geno_var_ratio	env_var_ratio	geno_var_ratio_se	env_var_ratio_se	ratio_se	z_score	p
albumin	Albumin	1.1051605273606	1.00206679467154	0.116393716187605	0.0148271144782536	0.117294391546134	0.877118651851657	0.809788902611339
arm_fatfree_mass_L	Arm fat free mass (L)	3.20688037966086	2.68591729684435	0.235026723512143	0.122857186453235	0.103147667516773	1.88042017089317	0.969974581675477
arm_fatfree_mass_R	Arm fat free mass (R)	3.66621938432419	3.24935665519411	0.23928498310029	0.0991355424742973	0.0812891334293964	1.57820418507276	0.942740645442156
bmi	BMI	0.708409512252367	0.655820948840839	0.0387413861463166	0.012635950956945	0.0626321645884345	1.28029072895117	0.89977854647254
calcium	Calcium	0.964457014879306	0.829710463695404	0.177432766292047	0.0206460117786034	0.215796266372781	0.75257045555818	0.774145961504533
creatinine	Creatinine	1.36992952869652	2.02634471565993	0.176803191014814	0.171316660420538	0.104306801251694	-3.1056511078839	0.000949302928314818
diastolicBP_auto	Diastolic BP	0.679384815007066	1.06271235257747	0.0549953942834568	0.0142154873846775	0.0524518337940667	-6.87691433250447	3.05814325146393e-12
eosinophil_perc	Eosinophil percentage	1.41192469875312	1.14104672003327	0.193164096619088	0.0420717284693787	0.175327039849273	1.35400844401154	0.912133158108636
FVC_best	Forced vital capacity	1.96992600247178	1.97700659971733	0.137511809493603	0.0388477575615016	0.0722587701199141	-0.0495645545395983	0.480234696638527
HbA1c	HbA1c	1.55466809681752	1.61479334736309	0.176521563246806	0.049064515632114	0.113161692930013	-0.329033798818326	0.371065070663306
height	Height	1.18777249721444	1.16056557742576	0.0773148105716819	0.0586736931856639	0.0843513419587383	0.277918652122854	0.609462597295447
hip_circ	Hip circumference	0.540211457915099	0.539573401720083	0.0332528072191501	0.00971734667863025	0.0642114333448652	0.0184160307837865	0.507346518052314
IGF1	IGF-1	1.09332427976756	0.874192943768477	0.111819742024304	0.026934759002262	0.133590286332989	1.87638654102308	0.969698889328606
lymphocyte_perc	Lymphocyte percentage	0.911497317658213	1.06072589237355	0.0975878470333959	0.0194752083675125	0.0933440206369398	-1.50717026547292	0.0658835098992
protein_total	Total protein	1.06306417694897	0.976922827517395	0.111577861553506	0.0165427134084641	0.11569046682521	0.762173490939986	0.777021767294066
pulse_rate	Pulse rate	1.15630694266327	1.25687065040799	0.106531229629745	0.020924311314626	0.0861317774911885	-0.92893918402764	0.176460302323853
RBC_count	RBC count	1.16537669207022	1.29570160671755	0.134806579247915	0.0368366063432134	0.107137522486487	-0.938816799918179	0.173912405940474
SHBG	SHBG	0.408117461299288	0.271990836274267	0.110691294628428	0.020268107100554	0.422047560466615	1.18584359062024	0.882157963311195
systolicBP_auto	Systolic BP	0.641272541118407	0.871551072939189	0.0479302360896551	0.0114483738910485	0.0558370085700896	-4.7319316927962	1.1119662835616e-06
testosterone	Testosterone	77.7151065413716	24.116476029064	13.7220837195275	1.19047014345254	0.590809762230362	3.76176951635756	0.999915642256409
urate	Urate	0.907585852800369	1.25078078148322	0.25020169446606	0.0869113133248516	0.206292817796097	-1.3300732346065	0.0917470715896033
urea	Urea	1.06853182840589	1.2040055954742	0.116002720929009	0.0203174338961465	0.0975043158263553	-1.15399217167064	0.12425168919584
waist_circ	Waist circumference	0.859736161179636	0.805157932070043	0.0495328680217312	0.0131536658833345	0.0639448228181487	1.06006617226866	0.855442751989823
waist_to_hip	Waist to hip ratio	0.810447497462556	0.872259875771456	0.0521449912725	0.0134786089400312	0.0614814054237767	-1.15261899406418	0.124533401784731
weight	Weight	1.11111910090342	1.01391595538674	0.0630852277563497	0.0206113297091459	0.0660872937224041	1.45064248942421	0.926560281333463
whole_body_fat_mass	Whole body fat mass	0.677583787702322	0.669008921212066	0.0367652355192251	0.0119461504746194	0.0578541933329689	0.221544317557764	0.587665683326128
wth_bmi_adj	Waist:hip (bmi adjusted)	0.482928412156209	0.740435048874912	0.044819225337217	0.014056739963466	0.061784381490059	-5.62888991346556	9.06865525934225e-09
