Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.37246664203492	0.335285159537098	0.475	0.0188
Adrenal Pancreas	3.70989525834021	0.369884466059658	0.473	0.0188
Cardiovascular	4.24691416960382	0.369385637993223	0.4721	0.0188
CNS	2.56769084573998	0.235917458517791	0.472	0.0188
Connective Bone	5.3224722693276	0.380634544215605	0.4644	0.0185
GI	2.90940120433056	0.219908964105869	0.4731	0.0188
Hematopoietic	2.17927294751099	0.217353406817139	0.4729	0.0188
Kidney	4.01451064424867	0.621391603811889	0.4729	0.0188
Liver	3.51047908905055	0.371538449884231	0.4727	0.0189
Other	3.31432969148385	0.210549049275743	0.4725	0.0188
