Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.44746687686056	0.319128243782584	0.4847	0.0185
Adrenal Pancreas	3.92669228236023	0.367049539263797	0.4827	0.0186
Cardiovascular	4.41462083521404	0.356262076924142	0.4817	0.0185
CNS	2.64384828410595	0.239958221593395	0.4816	0.0185
Connective Bone	5.0098471242614	0.330731658817353	0.4754	0.0183
GI	3.05450357792853	0.212203967204237	0.4828	0.0185
Hematopoietic	2.35715460741292	0.193593579189942	0.4823	0.0185
Kidney	4.84812244780559	0.656672245151759	0.4827	0.0185
Liver	4.1956776005378	0.369954653116556	0.482	0.0185
Other	3.39125092056964	0.211211187725857	0.4822	0.0185
