Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.17838920396295	2.80260472639894	0.0089	0.0029
Adrenal Pancreas	9.08295295671588	4.2990083066853	0.009	0.0029
Cardiovascular	7.09367129728782	3.16905198077763	0.0089	0.0029
CNS	4.11422790737661	1.98174447513861	0.009	0.0029
Connective Bone	4.1791602606879	2.50650171701754	0.0089	0.0029
GI	3.86400601571771	2.06719771870685	0.009	0.0029
Hematopoietic	3.53601120417599	1.78704607657284	0.0089	0.0029
Kidney	3.17498472244137	5.09531540672442	0.009	0.0029
Liver	3.86599059131732	3.25477408492976	0.009	0.0029
Other	4.14974064660692	1.94356010531659	0.009	0.0029
