Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.43550530775593	1.55204391709516	0.0174	0.0033
Adrenal Pancreas	5.11931421949008	1.82672226195245	0.0174	0.0033
Cardiovascular	4.13732471905998	1.65511943736575	0.0174	0.0033
CNS	3.54581997955454	1.20512621859293	0.0175	0.0034
Connective Bone	3.39872837661931	1.51549740052037	0.0174	0.0033
GI	3.08692067804455	1.26788063717866	0.0174	0.0033
Hematopoietic	2.73870998254318	0.873182276389214	0.0173	0.0033
Kidney	5.86264933903189	2.90569887197172	0.0175	0.0033
Liver	3.84599360753031	1.98671582597549	0.0174	0.0033
Other	3.83041702190845	1.26572799430215	0.0173	0.0033
