Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.81362577517972	0.283053293285268	0.2194	0.009
Adrenal Pancreas	3.52370906510606	0.352036028419035	0.2193	0.009
Cardiovascular	2.30925326565101	0.270603821692898	0.2191	0.009
CNS	2.82665163938391	0.198751360346669	0.2201	0.009
Connective Bone	2.36314571054659	0.256707143246334	0.219	0.009
GI	1.65753282497899	0.190945674181462	0.2188	0.009
Hematopoietic	1.80850379821416	0.140144551849465	0.2186	0.009
Kidney	3.03550063481777	0.529632917283779	0.219	0.009
Liver	2.57449814728768	0.339719645392053	0.219	0.009
Other	2.10653689375858	0.180232008039057	0.2189	0.009
