Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.77443045904034	0.297432922012829	0.2212	0.0094
Adrenal Pancreas	2.9027828450236	0.39301021745196	0.221	0.0093
Cardiovascular	2.37762630706824	0.333089951310194	0.221	0.0093
CNS	2.49561554826622	0.231392231263105	0.2214	0.0094
Connective Bone	2.69375446819555	0.310302067752916	0.2201	0.0094
GI	1.71031507322772	0.217918870725829	0.2207	0.0093
Hematopoietic	1.70127748757115	0.168115588732928	0.2206	0.0093
Kidney	2.27893636686713	0.5057757766012	0.2207	0.0093
Liver	2.4287895305033	0.325544425028141	0.2208	0.0093
Other	2.02412350744804	0.215181933189027	0.2208	0.0093
