Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.82546785132979	0.560112923887927	0.1651	0.0097
Adrenal Pancreas	3.60073757046425	0.539563424203128	0.1653	0.0097
Cardiovascular	3.81480509649117	0.505336962573481	0.1655	0.0098
CNS	2.50333867698985	0.347187147356912	0.1643	0.0096
Connective Bone	3.68597227692096	0.518910343015636	0.1659	0.0099
GI	2.87841969356405	0.509912720010002	0.1654	0.0098
Hematopoietic	4.80185450018372	0.327629884768941	0.1629	0.0095
Kidney	4.88595608406642	0.940968600894085	0.1653	0.0098
Liver	4.80053727997014	0.651234857684386	0.1654	0.0098
Other	2.9971167464446	0.37333896347545	0.1656	0.0098
