Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.35641326745069	3.16475996001745	0.0092	0.0032
Adrenal Pancreas	5.29206725035239	4.2883129153269	0.0091	0.0031
Cardiovascular	3.30828029465616	3.51042002682443	0.009	0.0031
CNS	1.34016346432645	2.13838362635506	0.009	0.0031
Connective Bone	2.37822269942308	2.894164784334	0.0091	0.0031
GI	3.05385345798271	2.42733943127598	0.0091	0.0031
Hematopoietic	2.05629071345145	1.67212595294993	0.0092	0.0031
Kidney	5.95709611793159	5.76421796716794	0.0091	0.0031
Liver	2.82925861917417	3.65705274484978	0.0091	0.0031
Other	1.63947492413031	2.18903021914373	0.0091	0.0031
