Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.77428140904877	0.476657574773118	0.149	0.0087
Adrenal Pancreas	4.33678622509574	0.553600058840148	0.1487	0.0087
Cardiovascular	4.30757475925802	0.529840759886207	0.1486	0.0088
CNS	2.93054656319453	0.329933448465456	0.1479	0.0087
Connective Bone	4.61231780614747	0.479093164280716	0.1484	0.0088
GI	3.54297350133796	0.366719861963271	0.1488	0.0087
Hematopoietic	3.93146535900028	0.292206260469005	0.1475	0.0087
Kidney	6.41939088866062	0.954329425596734	0.1487	0.0087
Liver	5.33970026842012	0.641468072842366	0.1486	0.0087
Other	3.72984157730409	0.324464099944262	0.1485	0.0088
