Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.39996806444805	0.528340621205353	0.1638	0.0115
Adrenal Pancreas	4.72750289893819	0.660318783036914	0.1639	0.0116
Cardiovascular	4.31875218575676	0.567662687339841	0.1638	0.0116
CNS	2.94797799869158	0.363863128946859	0.1629	0.0116
Connective Bone	4.91538853865624	0.593629453301577	0.1629	0.0117
GI	3.45128947704613	0.381302878259822	0.1639	0.0116
Hematopoietic	4.32745200901967	0.367310718064554	0.1622	0.0114
Kidney	6.82377468739203	1.0929434405601	0.1639	0.0115
Liver	6.03065803843284	0.749902804922472	0.1637	0.0115
Other	3.67164770917093	0.364730430656775	0.1637	0.0116
