Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.50053814733892	2.12719002752709	0.0144	0.0035
Adrenal Pancreas	2.06031589525313	2.17632172913735	0.0143	0.0035
Cardiovascular	4.21532536125993	2.20676953863304	0.0142	0.0035
CNS	3.56406343311242	1.39149026703083	0.0144	0.0035
Connective Bone	3.07980200591368	1.74824931299403	0.0144	0.0035
GI	1.80510196271994	1.47474120545804	0.0143	0.0035
Hematopoietic	1.50987002488314	1.01403580168522	0.0144	0.0035
Kidney	1.77315291792332	3.28880820439995	0.0143	0.0035
Liver	1.92759123039473	2.08804765872947	0.0143	0.0035
Other	2.75322888541379	1.40838850074926	0.0143	0.0035
