Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.57310097017037	0.500832341738323	0.1576	0.0113
Adrenal Pancreas	3.46294578373267	0.554893282968807	0.1564	0.0112
Cardiovascular	4.89338115138193	0.574357783290946	0.1555	0.0111
CNS	2.73874589213739	0.340086369281065	0.1562	0.0111
Connective Bone	3.14604810229177	0.480956047365177	0.1562	0.0113
GI	3.16789534204943	0.338919720972078	0.1564	0.0112
Hematopoietic	1.76249696660626	0.214111166562205	0.1567	0.0112
Kidney	3.18224029814813	0.888949718373026	0.1562	0.0112
Liver	2.5652357828225	0.652637186658952	0.1564	0.0112
Other	2.45998150548742	0.35522152099762	0.1564	0.0113
