Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.68349119197191	0.581354887684267	0.1438	0.0118
Adrenal Pancreas	3.85476081585998	0.669663694561574	0.1429	0.0117
Cardiovascular	5.41198587441567	0.709653338167145	0.1421	0.0117
CNS	3.00328474947255	0.438247733640497	0.143	0.0116
Connective Bone	3.26259263480357	0.529635821614908	0.1431	0.0117
GI	3.04061544066406	0.412535355709546	0.1429	0.0117
Hematopoietic	1.79997319667787	0.254265708133736	0.1432	0.0117
Kidney	3.54294539673745	1.00575471526277	0.1427	0.0117
Liver	2.62661570071773	0.748873617309642	0.143	0.0117
Other	2.73821533325497	0.430198699266551	0.1429	0.0118
