Code	Phenotype	Sex	Heritability	h2.std.error	Correlation	Correlation.std.error	relative_h2	relative_h2_se	star
testosterone	Testosterone	female	0.06	0.0068	0.0112	0.0521	0.705882352941176	0.08	NA
testosterone	Testosterone	both_sex	0.085	0.0113	0.0112	0.0521	1	0.132941176470588	NA
testosterone	Testosterone	male	0.1706	0.022	0.0112	0.0521	2.00705882352941	0.258823529411765	NA
wth_bmi_adj	Waist:hip (bmi adjusted)	female	0.1821	0.0131	0.6322	0.0269	1.4204368174727	0.102184087363494	NA
wth_bmi_adj	Waist:hip (bmi adjusted)	both_sex	0.1282	0.0072	0.6322	0.0269	1	0.0561622464898597	NA
wth_bmi_adj	Waist:hip (bmi adjusted)	male	0.1268	0.0074	0.6322	0.0269	0.989079563182527	0.0577223088923556	NA
waist_to_hip	Waist to hip ratio	female	0.1866	0.0091	0.7517	0.0252	1.18101265822785	0.0575949367088608	NA
waist_to_hip	Waist to hip ratio	both_sex	0.158	0.0053	0.7517	0.0252	1	0.0335443037974683	NA
waist_to_hip	Waist to hip ratio	male	0.1757	0.0073	0.7517	0.0252	1.1120253164557	0.0462025316455696	NA
SHBG	SHBG	female	0.1708	0.029	0.8671	0.0295	1.08789808917197	0.184713375796178	NA
SHBG	SHBG	both_sex	0.157	0.0269	0.8671	0.0295	1	0.171337579617834	NA
SHBG	SHBG	male	0.2361	0.0499	0.8671	0.0295	1.50382165605096	0.317834394904459	NA
urate	Urate	female	0.2222	0.0444	0.87	0.0311	1.32261904761905	0.264285714285714	NA
urate	Urate	both_sex	0.168	0.0249	0.87	0.0311	1	0.148214285714286	NA
urate	Urate	male	0.1717	0.0326	0.87	0.0311	1.02202380952381	0.194047619047619	NA
creatinine	Creatinine	female	0.1321	0.008	0.8898	0.0296	1.35209825997953	0.0818833162743091	NA
creatinine	Creatinine	both_sex	0.0977	0.0056	0.8898	0.0296	1	0.0573183213920163	NA
creatinine	Creatinine	male	0.0933	0.0072	0.8898	0.0296	0.95496417604913	0.0736949846468783	NA
IGF1	IGF-1	female	0.2061	0.0154	0.8909	0.0192	1.00585651537335	0.0751586139580283	NA
IGF1	IGF-1	both_sex	0.2049	0.0143	0.8909	0.0192	1	0.0697901415324549	NA
IGF1	IGF-1	male	0.2451	0.017	0.8909	0.0192	1.19619326500732	0.0829673011224985	NA
hip_circ	Hip circumference	female	0.2157	0.0084	0.8929	0.0164	1.10558687852383	0.043054843669913	NA
hip_circ	Hip circumference	both_sex	0.1951	0.0071	0.8929	0.0164	1	0.0363915940543311	*
hip_circ	Hip circumference	male	0.2159	0.0102	0.8929	0.0164	1.10661199384931	0.05228088159918	NA
pulse_rate	Pulse rate	female	0.1513	0.0098	0.8956	0.026	1.11086637298091	0.0719530102790014	NA
pulse_rate	Pulse rate	both_sex	0.1362	0.0082	0.8956	0.026	1	0.0602055800293686	NA
pulse_rate	Pulse rate	male	0.1409	0.0092	0.8956	0.026	1.0345080763583	0.0675477239353892	NA
waist_circ	Waist circumference	female	0.2077	0.0078	0.8963	0.017	1.05485017775521	0.0396140172676485	NA
waist_circ	Waist circumference	both_sex	0.1969	0.0067	0.8963	0.017	1	0.0340274250888777	*
waist_circ	Waist circumference	male	0.2187	0.0095	0.8963	0.017	1.11071609954292	0.0482478415439309	NA
urea	Urea	female	0.1039	0.0068	0.9108	0.0336	1.1318082788671	0.074074074074074	NA
urea	Urea	both_sex	0.0918	0.0058	0.9108	0.0336	1	0.0631808278867103	NA
urea	Urea	male	0.0933	0.008	0.9108	0.0336	1.01633986928105	0.0871459694989107	NA
whole_body_fat_mass	Whole body fat mass	female	0.2354	0.0084	0.9135	0.0144	1.07833256985799	0.038479157123225	NA
whole_body_fat_mass	Whole body fat mass	both_sex	0.2183	0.0072	0.9135	0.0144	1	0.03298213467705	*
whole_body_fat_mass	Whole body fat mass	male	0.2377	0.0096	0.9135	0.0144	1.0888685295465	0.0439761795693998	NA
bmi	BMI	female	0.2438	0.0088	0.9241	0.0137	1.05632582322357	0.0381282495667243	NA
bmi	BMI	both_sex	0.2308	0.0078	0.9241	0.0137	1	0.0337954939341421	*
bmi	BMI	male	0.2583	0.0105	0.9241	0.0137	1.11915077989601	0.0454939341421146	NA
diastolicBP_auto	Diastolic BP	female	0.1609	0.0081	0.9241	0.0274	1.25899843505477	0.063380281690141	NA
diastolicBP_auto	Diastolic BP	both_sex	0.1278	0.0054	0.9241	0.0274	1	0.0422535211267605	NA
diastolicBP_auto	Diastolic BP	male	0.1092	0.0069	0.9241	0.0274	0.854460093896714	0.0539906103286386	NA
arm_fatfree_mass_L	Arm fat free mass (L)	female	0.2433	0.0101	0.9327	0.0144	1.05006473888649	0.0435908502373761	NA
arm_fatfree_mass_L	Arm fat free mass (L)	both_sex	0.2317	0.009	0.9327	0.0144	1	0.0388433318946915	*
