Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	5.18902697437137	3.11408447838743	0.0101	0.0032
Adrenal Pancreas	2.70906646675494	3.38776413015086	0.0101	0.0033
Cardiovascular	4.73981440169873	3.14035450578001	0.0101	0.0033
CNS	2.94669635410917	1.71702962773251	0.01	0.0033
Connective Bone	6.21282537739558	2.81199962089704	0.0101	0.0033
GI	3.41943482547068	2.46726126457459	0.0102	0.0033
Hematopoietic	3.47817757864262	1.87766187355169	0.01	0.0033
Kidney	7.13934332274872	5.51565025527361	0.0102	0.0033
Liver	1.76115176655298	3.38206866661909	0.0102	0.0033
Other	5.32006734060936	2.46043453096518	0.0101	0.0033
