Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.74499337968474	0.467063590332668	0.1701	0.0088
Adrenal Pancreas	4.142274756872	0.504760813767721	0.1699	0.0088
Cardiovascular	4.23138417697758	0.438748425047122	0.1692	0.0088
CNS	2.52060412596051	0.269481912832393	0.1695	0.0088
Connective Bone	3.32713567782862	0.404269353039667	0.1692	0.0089
GI	3.02801901634088	0.343352923067867	0.1698	0.0088
Hematopoietic	1.91186326647013	0.207528368351306	0.1696	0.0088
Kidney	5.81917944877898	0.850831296895806	0.1701	0.0088
Liver	3.62104267411644	0.499544103130969	0.1695	0.0088
Other	2.94548220956314	0.278043629798361	0.1694	0.0088
