Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.03266307855572	0.482246996290709	0.1298	0.007
Adrenal Pancreas	3.89305367808617	0.56699551657173	0.1291	0.0071
Cardiovascular	4.01550581461551	0.497782873230727	0.1287	0.007
CNS	2.63840143198021	0.287461802029974	0.1289	0.007
Connective Bone	3.74620026806072	0.448460207226804	0.1281	0.007
GI	2.74085088229238	0.32170762756717	0.1291	0.007
Hematopoietic	1.85672237179021	0.222397854702762	0.1293	0.007
Kidney	5.87482351299568	0.850410041813839	0.1293	0.007
Liver	3.41771024831924	0.50080681586446	0.129	0.007
Other	3.16456669634946	0.32273539274229	0.1287	0.007
