Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.74571943405908	0.887042432745648	0.0687	0.0073
Adrenal Pancreas	6.1247615987475	1.24868480148452	0.0694	0.0074
Cardiovascular	4.0972832318434	1.11805904242095	0.0691	0.0074
CNS	2.18891125578845	0.593743592652597	0.0687	0.0073
Connective Bone	3.17295135197421	0.779019990107097	0.0696	0.0075
GI	3.55951030235899	0.85639837784803	0.0692	0.0074
Hematopoietic	3.2025499340514	0.638293605625574	0.069	0.0074
Kidney	8.78002025174061	3.24494503498899	0.0696	0.0074
Liver	7.50341222843069	2.08508533346721	0.0688	0.0074
Other	3.00157070782465	0.84516562710906	0.0693	0.0074
