Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.02325242874053	0.601256216022911	0.1517	0.0105
Adrenal Pancreas	3.89413620026816	0.726974552150122	0.1516	0.0106
Cardiovascular	2.3611448091292	0.636346071861211	0.1514	0.0105
CNS	2.28592667621123	0.425108633130443	0.1513	0.0105
Connective Bone	2.83980544241583	0.60629446901396	0.1513	0.0106
GI	2.14985167408299	0.437944591993315	0.1515	0.0105
Hematopoietic	2.21264021947425	0.287442737757743	0.1509	0.0104
Kidney	6.50821289776622	1.33391326200164	0.1518	0.0105
Liver	7.12409429085268	0.94530439634949	0.1506	0.0105
Other	2.14570766897249	0.354638794606162	0.1514	0.0105
