Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.85074229180677	0.874367057848698	0.0771	0.0079
Adrenal Pancreas	4.36865495634744	1.05669391034571	0.0773	0.0079
Cardiovascular	2.34573325393168	0.906085870487128	0.0772	0.0079
CNS	2.15782483426299	0.672573927638603	0.0769	0.0079
Connective Bone	2.84294782126549	0.940603557887429	0.0771	0.008
GI	2.30519089041072	0.592544010788279	0.0772	0.0079
Hematopoietic	2.48428716409818	0.395305440516987	0.0766	0.0078
Kidney	5.61448132116001	1.68576410791216	0.0773	0.0079
Liver	6.79353929009526	1.19313395336928	0.0767	0.0078
Other	2.09105422173418	0.531492514667626	0.0772	0.0078
