Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	6.06001464614884	2.12317029543105	0.0133	0.0042
Adrenal Pancreas	3.89420430346183	2.383643310492	0.0133	0.0041
Cardiovascular	6.93967427845188	2.50751292973209	0.0133	0.0041
CNS	4.26523844441334	1.4631661479874	0.0132	0.0042
Connective Bone	6.31687483800851	2.37996844875648	0.0132	0.0042
GI	3.43703436252537	1.49501923810646	0.0133	0.0041
Hematopoietic	3.61330103724719	1.3076201259517	0.0132	0.0041
Kidney	9.17416009750091	4.90655630683628	0.0133	0.0042
Liver	7.87969648989786	2.66880247617923	0.0133	0.0041
Other	5.07888291496192	1.60319724393178	0.0133	0.0041
