Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.82663875531453	0.359331393442976	0.1904	0.0115
Adrenal Pancreas	4.74900981342101	0.691469779040717	0.1911	0.0116
Cardiovascular	3.13992239395627	0.469249135775523	0.1908	0.0116
CNS	2.21323772950801	0.272937602718417	0.1904	0.0115
Connective Bone	2.89785907023854	0.405024625674	0.1908	0.0116
GI	3.16962388660115	0.297331848947136	0.191	0.0116
Hematopoietic	2.26412485506509	0.268133948825808	0.1902	0.0115
Kidney	9.80814440972435	1.18395097057429	0.1921	0.0117
Liver	4.26951595525634	0.58632099027631	0.1905	0.0116
Other	2.5640849315578	0.29936136684587	0.1908	0.0116
