Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.41849632563551	0.478255922753692	0.1445	0.0101
Adrenal Pancreas	5.92968950250162	0.700374381621823	0.1447	0.0101
Cardiovascular	4.40854039733021	0.553580949754587	0.1444	0.0101
CNS	2.91790661772566	0.349641953356186	0.144	0.01
Connective Bone	4.07809159808692	0.536532547323403	0.1441	0.01
GI	3.8925752464532	0.377936467400258	0.1445	0.0101
Hematopoietic	2.39577004723982	0.24970658946894	0.1442	0.0101
Kidney	12.6074004801899	1.36205248082046	0.1458	0.0102
Liver	5.25026826688155	0.624060296637663	0.1442	0.0101
Other	3.10778014798882	0.331553155014896	0.1445	0.0101
