Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	0.777416849806484	3.89967755599506	0.0064	0.0031
Adrenal Pancreas	0.234324058353948	4.20369377106224	0.0065	0.003
Cardiovascular	4.71374877906561	4.28774497929644	0.0065	0.003
CNS	1.15767876073089	2.5209992587563	0.0065	0.003
Connective Bone	4.75542342210955	3.69805295245796	0.0065	0.003
GI	2.60003482513354	2.61009314011749	0.0065	0.0031
Hematopoietic	1.83707890757348	2.26700251259088	0.0066	0.003
Kidney	7.73253165299146	6.91693484394731	0.0066	0.0031
Liver	5.32645219217403	4.32202613018713	0.0065	0.0031
Other	3.25117619927159	2.77329461341696	0.0065	0.0031
