Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.22020891432885	0.424622567209632	0.1065	0.0069
Adrenal Pancreas	4.83744605246038	0.589573461982213	0.1069	0.0069
Cardiovascular	3.42042942560334	0.585534445989845	0.1068	0.0069
CNS	2.19306823241971	0.350492889591316	0.1062	0.0068
Connective Bone	3.3342187182914	0.473954616657476	0.1066	0.0069
GI	3.56318092193986	0.376846936890914	0.1068	0.0069
Hematopoietic	2.55710228865778	0.310741269357996	0.1064	0.0069
Kidney	11.0396130830716	1.22663053768582	0.1077	0.007
Liver	5.07677530405973	0.719654020635034	0.1065	0.0069
Other	3.07504894572189	0.387145602734316	0.1066	0.0069
