Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.20566814559416	0.510414590349488	0.1026	0.0093
Adrenal Pancreas	4.81784589186957	0.730187743720349	0.103	0.0094
Cardiovascular	3.4721349577243	0.651610931034519	0.1028	0.0093
CNS	2.07501599523184	0.405446064228521	0.1023	0.0092
Connective Bone	2.98362372678724	0.49649471366358	0.1029	0.0093
GI	3.72971418478064	0.493238718567603	0.1028	0.0093
Hematopoietic	2.15051568096016	0.383375373618725	0.1029	0.0093
Kidney	11.7988853999634	1.60800739094363	0.1039	0.0094
Liver	5.72170233641015	0.871537824412357	0.1024	0.0093
Other	3.12942613309869	0.470748068106927	0.1026	0.0093
