Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.3880221519654	2.30605379967724	0.0121	0.0031
Adrenal Pancreas	3.83911252932496	2.59221607531363	0.0121	0.0031
Cardiovascular	4.69326449760697	2.45499234931642	0.0121	0.0031
CNS	3.37254255666463	1.59875954253858	0.0121	0.0031
Connective Bone	3.32923392542509	2.19661298885296	0.0121	0.0031
GI	4.13428353259075	1.88153391960249	0.0121	0.0031
Hematopoietic	2.97411536448312	1.18902246538102	0.012	0.0031
Kidney	8.7379676167516	4.32968634144568	0.0122	0.0031
Liver	6.01774078046839	2.85212742406339	0.012	0.0031
Other	3.61075441401394	1.73076697541031	0.012	0.0031
